gym_id,has_sauna,market,tier
248,false,Los Angeles,Boutique
383,false,Los Angeles,Boutique
571,false,Los Angeles,Boutique
702,false,Los Angeles,Boutique
1475,false,Los Angeles,Boutique
1644,false,Los Angeles,Boutique
1757,false,Los Angeles,Boutique
1964,false,Los Angeles,Boutique
2058,false,Los Angeles,Boutique
2074,false,Los Angeles,Boutique
2158,false,Los Angeles,Boutique
2164,false,Los Angeles,Boutique
2383,false,Los Angeles,Boutique
2444,false,Los Angeles,Boutique
2460,false,Los Angeles,Boutique
2561,false,Los Angeles,Boutique
2645,false,Los Angeles,Boutique
48,false,Miami,Boutique
78,false,Miami,Boutique
176,false,Miami,Boutique
593,false,Miami,Boutique
787,false,Miami,Boutique
997,false,Miami,Boutique
1465,false,Miami,Boutique
1765,false,Miami,Boutique
1855,false,Miami,Boutique
271,false,New York City,Boutique
556,false,New York City,Boutique
1053,false,New York City,Boutique
1515,false,New York City,Boutique
2054,false,New York City,Boutique
2336,false,New York City,Boutique
2528,false,New York City,Boutique
19,false,Los Angeles,High-Tier Chain
20,false,Los Angeles,High-Tier Chain
23,false,Los Angeles,High-Tier Chain
59,false,Los Angeles,High-Tier Chain
61,false,Los Angeles,High-Tier Chain
79,true,Los Angeles,High-Tier Chain
175,false,Los Angeles,High-Tier Chain
199,false,Los Angeles,High-Tier Chain
202,false,Los Angeles,High-Tier Chain
238,false,Los Angeles,High-Tier Chain
251,false,Los Angeles,High-Tier Chain
266,false,Los Angeles,High-Tier Chain
294,false,Los Angeles,High-Tier Chain
295,false,Los Angeles,High-Tier Chain
334,false,Los Angeles,High-Tier Chain
362,false,Los Angeles,High-Tier Chain
375,false,Los Angeles,High-Tier Chain
386,false,Los Angeles,High-Tier Chain
398,false,Los Angeles,High-Tier Chain
399,false,Los Angeles,High-Tier Chain
401,false,Los Angeles,High-Tier Chain
402,false,Los Angeles,High-Tier Chain
500,false,Los Angeles,High-Tier Chain
507,false,Los Angeles,High-Tier Chain
513,false,Los Angeles,High-Tier Chain
565,false,Los Angeles,High-Tier Chain
685,false,Los Angeles,High-Tier Chain
703,false,Los Angeles,High-Tier Chain
753,false,Los Angeles,High-Tier Chain
754,false,Los Angeles,High-Tier Chain
824,false,Los Angeles,High-Tier Chain
825,false,Los Angeles,High-Tier Chain
826,false,Los Angeles,High-Tier Chain
827,false,Los Angeles,High-Tier Chain
828,false,Los Angeles,High-Tier Chain
856,false,Los Angeles,High-Tier Chain
995,false,Los Angeles,High-Tier Chain
1058,false,Los Angeles,High-Tier Chain
1105,false,Los Angeles,High-Tier Chain
1129,false,Los Angeles,High-Tier Chain
1130,false,Los Angeles,High-Tier Chain
1167,false,Los Angeles,High-Tier Chain
1344,false,Los Angeles,High-Tier Chain
1418,false,Los Angeles,High-Tier Chain
1451,false,Los Angeles,High-Tier Chain
1546,false,Los Angeles,High-Tier Chain
1552,false,Los Angeles,High-Tier Chain
1555,false,Los Angeles,High-Tier Chain
1657,false,Los Angeles,High-Tier Chain
1730,false,Los Angeles,High-Tier Chain
1740,false,Los Angeles,High-Tier Chain
1776,false,Los Angeles,High-Tier Chain
1810,false,Los Angeles,High-Tier Chain
1828,false,Los Angeles,High-Tier Chain
1841,false,Los Angeles,High-Tier Chain
1851,false,Los Angeles,High-Tier Chain
1906,false,Los Angeles,High-Tier Chain
1965,false,Los Angeles,High-Tier Chain
1967,false,Los Angeles,High-Tier Chain
2076,false,Los Angeles,High-Tier Chain
2082,false,Los Angeles,High-Tier Chain
2098,false,Los Angeles,High-Tier Chain
2140,false,Los Angeles,High-Tier Chain
2200,false,Los Angeles,High-Tier Chain
2234,false,Los Angeles,High-Tier Chain
2268,false,Los Angeles,High-Tier Chain
2335,false,Los Angeles,High-Tier Chain
2362,false,Los Angeles,High-Tier Chain
2374,false,Los Angeles,High-Tier Chain
2385,false,Los Angeles,High-Tier Chain
2386,false,Los Angeles,High-Tier Chain
2424,false,Los Angeles,High-Tier Chain
2458,false,Los Angeles,High-Tier Chain
2463,false,Los Angeles,High-Tier Chain
2478,true,Los Angeles,High-Tier Chain
2487,false,Los Angeles,High-Tier Chain
2562,false,Los Angeles,High-Tier Chain
2574,false,Los Angeles,High-Tier Chain
2612,false,Los Angeles,High-Tier Chain
2618,false,Los Angeles,High-Tier Chain
2823,false,Los Angeles,High-Tier Chain
2837,false,Los Angeles,High-Tier Chain
44,false,Miami,High-Tier Chain
45,false,Miami,High-Tier Chain
63,false,Miami,High-Tier Chain
65,false,Miami,High-Tier Chain
66,false,Miami,High-Tier Chain
92,false,Miami,High-Tier Chain
128,false,Miami,High-Tier Chain
135,false,Miami,High-Tier Chain
164,false,Miami,High-Tier Chain
178,false,Miami,High-Tier Chain
181,false,Miami,High-Tier Chain
185,false,Miami,High-Tier Chain
247,true,Miami,High-Tier Chain
286,false,Miami,High-Tier Chain
344,false,Miami,High-Tier Chain
397,false,Miami,High-Tier Chain
414,false,Miami,High-Tier Chain
420,false,Miami,High-Tier Chain
462,false,Miami,High-Tier Chain
466,false,Miami,High-Tier Chain
504,false,Miami,High-Tier Chain
551,false,Miami,High-Tier Chain
555,false,Miami,High-Tier Chain
577,false,Miami,High-Tier Chain
683,false,Miami,High-Tier Chain
749,false,Miami,High-Tier Chain
775,false,Miami,High-Tier Chain
835,false,Miami,High-Tier Chain
921,false,Miami,High-Tier Chain
953,false,Miami,High-Tier Chain
955,false,Miami,High-Tier Chain
1098,false,Miami,High-Tier Chain
1168,false,Miami,High-Tier Chain
1192,false,Miami,High-Tier Chain
1243,false,Miami,High-Tier Chain
1244,false,Miami,High-Tier Chain
1247,false,Miami,High-Tier Chain
1291,false,Miami,High-Tier Chain
1351,false,Miami,High-Tier Chain
1423,false,Miami,High-Tier Chain
1431,false,Miami,High-Tier Chain
1484,false,Miami,High-Tier Chain
1485,false,Miami,High-Tier Chain
1528,false,Miami,High-Tier Chain
1561,false,Miami,High-Tier Chain
1617,false,Miami,High-Tier Chain
1632,false,Miami,High-Tier Chain
1636,false,Miami,High-Tier Chain
1695,false,Miami,High-Tier Chain
1710,false,Miami,High-Tier Chain
1711,false,Miami,High-Tier Chain
1721,false,Miami,High-Tier Chain
1790,false,Miami,High-Tier Chain
1812,false,Miami,High-Tier Chain
1815,false,Miami,High-Tier Chain
1845,false,Miami,High-Tier Chain
1871,false,Miami,High-Tier Chain
1878,false,Miami,High-Tier Chain
1907,false,Miami,High-Tier Chain
1912,false,Miami,High-Tier Chain
1913,false,Miami,High-Tier Chain
1924,false,Miami,High-Tier Chain
1975,false,Miami,High-Tier Chain
2006,false,Miami,High-Tier Chain
2011,false,Miami,High-Tier Chain
2026,false,Miami,High-Tier Chain
2080,false,Miami,High-Tier Chain
2119,false,Miami,High-Tier Chain
2128,false,Miami,High-Tier Chain
2240,false,Miami,High-Tier Chain
2327,false,Miami,High-Tier Chain
2355,false,Miami,High-Tier Chain
2400,false,Miami,High-Tier Chain
2443,false,Miami,High-Tier Chain
2448,false,Miami,High-Tier Chain
2483,false,Miami,High-Tier Chain
2514,false,Miami,High-Tier Chain
2540,false,Miami,High-Tier Chain
2601,false,Miami,High-Tier Chain
2606,false,Miami,High-Tier Chain
2626,false,Miami,High-Tier Chain
2674,false,Miami,High-Tier Chain
2704,false,Miami,High-Tier Chain
2820,false,Miami,High-Tier Chain
259,false,New York City,High-Tier Chain
332,false,New York City,High-Tier Chain
590,false,New York City,High-Tier Chain
695,false,New York City,High-Tier Chain
950,false,New York City,High-Tier Chain
1031,false,New York City,High-Tier Chain
1298,false,New York City,High-Tier Chain
1346,false,New York City,High-Tier Chain
1360,false,New York City,High-Tier Chain
1377,false,New York City,High-Tier Chain
1435,false,New York City,High-Tier Chain
1438,false,New York City,High-Tier Chain
1510,false,New York City,High-Tier Chain
1518,false,New York City,High-Tier Chain
1820,false,New York City,High-Tier Chain
1843,false,New York City,High-Tier Chain
1847,false,New York City,High-Tier Chain
1888,false,New York City,High-Tier Chain
1896,false,New York City,High-Tier Chain
1903,false,New York City,High-Tier Chain
1939,false,New York City,High-Tier Chain
1972,false,New York City,High-Tier Chain
1990,false,New York City,High-Tier Chain
2002,false,New York City,High-Tier Chain
2084,true,New York City,High-Tier Chain
2180,false,New York City,High-Tier Chain
2247,false,New York City,High-Tier Chain
2326,false,New York City,High-Tier Chain
2333,false,New York City,High-Tier Chain
2345,false,New York City,High-Tier Chain
2406,false,New York City,High-Tier Chain
2420,false,New York City,High-Tier Chain
2466,false,New York City,High-Tier Chain
2485,false,New York City,High-Tier Chain
2490,false,New York City,High-Tier Chain
2495,false,New York City,High-Tier Chain
2497,false,New York City,High-Tier Chain
2523,false,New York City,High-Tier Chain
2533,false,New York City,High-Tier Chain
2539,false,New York City,High-Tier Chain
2569,false,New York City,High-Tier Chain
2586,false,New York City,High-Tier Chain
2602,false,New York City,High-Tier Chain
2617,false,New York City,High-Tier Chain
2627,false,New York City,High-Tier Chain
2667,false,New York City,High-Tier Chain
2675,false,New York City,High-Tier Chain
2681,false,New York City,High-Tier Chain
2682,false,New York City,High-Tier Chain
2700,false,New York City,High-Tier Chain
2755,false,New York City,High-Tier Chain
2761,false,New York City,High-Tier Chain
2795,false,New York City,High-Tier Chain
2801,false,New York City,High-Tier Chain
24,false,Los Angeles,Mid-Tier Chain
455,false,Los Angeles,Mid-Tier Chain
584,false,Los Angeles,Mid-Tier Chain
687,false,Los Angeles,Mid-Tier Chain
745,false,Los Angeles,Mid-Tier Chain
954,false,Los Angeles,Mid-Tier Chain
1003,false,Los Angeles,Mid-Tier Chain
1171,true,Los Angeles,Mid-Tier Chain
1239,false,Los Angeles,Mid-Tier Chain
1481,false,Los Angeles,Mid-Tier Chain
1522,false,Los Angeles,Mid-Tier Chain
1536,false,Los Angeles,Mid-Tier Chain
1582,false,Los Angeles,Mid-Tier Chain
1633,false,Los Angeles,Mid-Tier Chain
1779,false,Los Angeles,Mid-Tier Chain
1811,false,Los Angeles,Mid-Tier Chain
1859,false,Los Angeles,Mid-Tier Chain
1861,false,Los Angeles,Mid-Tier Chain
1899,false,Los Angeles,Mid-Tier Chain
2049,false,Los Angeles,Mid-Tier Chain
2086,false,Los Angeles,Mid-Tier Chain
2105,false,Los Angeles,Mid-Tier Chain
2132,false,Los Angeles,Mid-Tier Chain
2134,false,Los Angeles,Mid-Tier Chain
2242,false,Los Angeles,Mid-Tier Chain
2407,false,Los Angeles,Mid-Tier Chain
2432,false,Los Angeles,Mid-Tier Chain
2474,false,Los Angeles,Mid-Tier Chain
2475,false,Los Angeles,Mid-Tier Chain
2621,false,Los Angeles,Mid-Tier Chain
2765,false,Los Angeles,Mid-Tier Chain
2771,false,Los Angeles,Mid-Tier Chain
346,false,Miami,Mid-Tier Chain
365,false,Miami,Mid-Tier Chain
505,false,Miami,Mid-Tier Chain
705,false,Miami,Mid-Tier Chain
1029,false,Miami,Mid-Tier Chain
1059,false,Miami,Mid-Tier Chain
1119,false,Miami,Mid-Tier Chain
1131,false,Miami,Mid-Tier Chain
1132,false,Miami,Mid-Tier Chain
1233,false,Miami,Mid-Tier Chain
1301,false,Miami,Mid-Tier Chain
1454,false,Miami,Mid-Tier Chain
1568,false,Miami,Mid-Tier Chain
1647,false,Miami,Mid-Tier Chain
1692,false,Miami,Mid-Tier Chain
1703,false,Miami,Mid-Tier Chain
1799,false,Miami,Mid-Tier Chain
1818,false,Miami,Mid-Tier Chain
1834,false,Miami,Mid-Tier Chain
1864,false,Miami,Mid-Tier Chain
1869,false,Miami,Mid-Tier Chain
2001,false,Miami,Mid-Tier Chain
2008,false,Miami,Mid-Tier Chain
2094,false,Miami,Mid-Tier Chain
2097,false,Miami,Mid-Tier Chain
2125,false,Miami,Mid-Tier Chain
2174,false,Miami,Mid-Tier Chain
2219,false,Miami,Mid-Tier Chain
2292,false,Miami,Mid-Tier Chain
2314,false,Miami,Mid-Tier Chain
2324,false,Miami,Mid-Tier Chain
2391,false,Miami,Mid-Tier Chain
2392,false,Miami,Mid-Tier Chain
2419,false,Miami,Mid-Tier Chain
2480,false,Miami,Mid-Tier Chain
2502,false,Miami,Mid-Tier Chain
2568,false,Miami,Mid-Tier Chain
2649,false,Miami,Mid-Tier Chain
2665,false,Miami,Mid-Tier Chain
2670,false,Miami,Mid-Tier Chain
2739,false,Miami,Mid-Tier Chain
